,New Code,OP,Description,Concatenated
0,OP1920,Define data management strategy,"The DMS is a collaboration of business, data and technology stakeholders. The strategy must identify the high-level organizational objectives identified by the organization’s senior executives.","Define data management strategy The DMS is a collaboration of business, data and technology stakeholders. The strategy must identify the high-level organizational objectives identified by the organization’s senior executives."
1,OP2026,Obtain mandate to develop DMS,,Obtain mandate to develop DMS 
2,OP2027,Create a DMS team,,Create a DMS team 
3,OP2028,Identify DMS stakeholders,,Identify DMS stakeholders 
4,OP1922,Review and approve DMS by stakeholders,Approval of the DMS requires a mechanism and a governance structure that provides authority for the Strategy,Review and approve DMS by stakeholders Approval of the DMS requires a mechanism and a governance structure that provides authority for the Strategy
5,OP2029,Create a DMS socialization strategy,,Create a DMS socialization strategy 
6,OP1923,Evaluate the enforceability of DMS,Enforceability of the DMS should be evaluated by the Internal Audit function of the organization.,Evaluate the enforceability of DMS Enforceability of the DMS should be evaluated by the Internal Audit function of the organization.
7,OP1924,Document high-level business requirements / use Cases,"High-level business requirements are those identified by the operating units, often reflecting the high-level enterprise requirements identified by executive management. It is important that the DMS reflect both the organizational requirements as well as operating units’ requirements","Document high-level business requirements / use Cases High-level business requirements are those identified by the operating units, often reflecting the high-level enterprise requirements identified by executive management. It is important that the DMS reflect both the organizational requirements as well as operating units’ requirements"
8,OP1925,Prioritize business requirements / use cases,The prioritized enterprise and operating units’ business requirements will inform the priorities of the DM initiative.,Prioritize business requirements / use cases The prioritized enterprise and operating units’ business requirements will inform the priorities of the DM initiative.
9,OP2030,Define mecanisms for DMS alignment with organizational changes,,Define mecanisms for DMS alignment with organizational changes 
10,OP1926,Define DM business case,"The DM business case must align with and reflect the enterprise and operating units level objectives, drivers and requirements as detailed in the DMS.","Define DM business case The DM business case must align with and reflect the enterprise and operating units level objectives, drivers and requirements as detailed in the DMS."
11,OP1927,Define expected DM outcomes and targets,A primary function of the business case is to define the challenges of the current-state and to define the roadmap to improvement.,Define expected DM outcomes and targets A primary function of the business case is to define the challenges of the current-state and to define the roadmap to improvement.
12,OP2031,Define DMS expected benefits and KPIs,,Define DMS expected benefits and KPIs 
13,OP2032,Identify risks associated with not having a DMS,,Identify risks associated with not having a DMS 
14,OP1928,Review and approve DM business case,Buy-in to the business case is affirmed by stakeholder validation of the quantifiable business outcomes,Review and approve DM business case Buy-in to the business case is affirmed by stakeholder validation of the quantifiable business outcomes
15,OP1929,Define data content strategy,The data content strategy identifies the sources and types of data that are required to meet the prioritized objectives of the business. Sources include both internal and external data.,Define data content strategy The data content strategy identifies the sources and types of data that are required to meet the prioritized objectives of the business. Sources include both internal and external data.
16,OP1921,Review external sources for business requirements,"External sources can greatly facilitate the process of collecting the data required to achieve the organization's business objectives. Types of alternative data which can easily be collected through external sources include geospatial, satellite, mobile, sensor, weather, and social media. All data collected from external sources must be viewed through the lens of ethical access and use.","Review external sources for business requirements External sources can greatly facilitate the process of collecting the data required to achieve the organization's business objectives. Types of alternative data which can easily be collected through external sources include geospatial, satellite, mobile, sensor, weather, and social media. All data collected from external sources must be viewed through the lens of ethical access and use."
