,New Code,OPs
0,OP9,"Definition of business glossary management processes | Definition of processes to manage the usage of the organization's business glossary. This includes processes to add, modify or remove business terms from the business glossary along with the different roles & responsibilities involved in processes. As a best practice, business glossary management processes should reflect the capabilities integrated within the organization's chosen business glossary tool (eg., Collibra, Informatica, Alation)"
1,OP1,Definition of guidelines and procedures for the management of the business glossary | 
2,OP2,Definition of guidelines and procedures for the corporate usage of the business glossary | 
3,OP3,Periodic assessment of the corporate alignment on the business glossary | 
4,OP4,"Definition of role structure for the management of the business glossary | Definition of a formal role structure for the management of the business glossary. This includes the roles and responsibilities for the addition, modification and removal of business terms as well as the roles responsible for providing, modifying or removing access permissions for the use of the business glossary. "
5,OP5,"Management of a corporate list of business glossary stakeholders | Management of a corporate list of stakeholders involved with the business glossary stakeholders. This list must include stakeholder roles and responsibilities as well as their access permissions (eg., read, write, modify, approve, etc.). The stakeholder list should be automatically updated when changes are made to access permissions and when new stakeholders are provided access to the business glossary. "
6,OP6,"Assignment of business glossary roles | Assignment of business glossary roles and responsibilities to stakeholders with relevant experience and data governance knowledge to properly execute the assigned responsibilities. When assigning roles, it is crucial to clearly lay out the responsibilities associated with each role and the required collaboration between roles to ensure the successful implementation and usage of the business glossary. "
7,OP74,Definition of data owner responsibilities | 
8,OP75,Designation of business data element owner | 
9,OP2375,Creation of a Data RACI for the project | Definition of the roles and responsibilities related to all the data user by the project
10,OP2376,Review and approval of the Data RACI for the project | Definition of the roles and responsibilities related to all the data user by the project
11,OP1892,Attestation of ownership for all AI data elements  | Establishing the ability to formally certify the ownership for all AI data elements  
12,OP7,"Establishment of a business glossary | Establishment of a business glossary to support proper metadata management and to standardize business terms throughout the organization. Establishing a business glossary should be done through the acquisition of one of many business glossary tools currently available on the market (eg., Collibra, Informatica, Alation, etc.). It is important to select the tool best fitted for the organization's context (eg., data volume, type / sensitivity of data, structured / unstructured data, data classification, etc.)"
13,OP1739,Integration of workflows in business glossary | 
14,OP1736,Creation of roadmap for new business data elements | Creation of a roadmap to illustrate how new business data elements are integrated in the business glossary. This roadmap must demonstrate the different approvals that must be obtained prior to adding a new business term to the business glossary. This roadmap should be communicated to relevant business glossary stakeholders.
15,OP2377,"Creation of a list of the business terms used ""In the lab"" and ""In the field"" | Creation of a list of all business terms used by the project, ased on the data requirements for data used ""In the lab"" and ""In the field"""
16,OP2378,Review and validation of business terms related to a project | Validation of the list of business terms used by a project
17,OP1718,Establishment of guidelines for business data element names and definitions  | Establishment of guidelines for the naming and definitions of business data elements to ensure that standardized business terms and definitions are achieved within the business glossary. These guidelines must set out best practices for the naming and definition of business terms such as ensuring that all names are unique and that abreviations / acronyms are not used in definitions.
18,OP1715,"Identification of key business data elements | Identification of key business data elements is crucial for the successful implementation of a business glossary. The criteria for identifying key business data elements should be based on the importance of the data element to the organization such as data used for financial or regulatory reporting, data introduced by or presented to company executives and data elements used in high-profile projects. "
19,OP10,Request for the creation of new business term (in the business glossary) | 
20,OP11,Request for the definition and approval of business terms | Capability to manage business term definition lifecycle 
21,OP12,Revision of new business term requests | 
22,OP13,"Approval for addition of new business terms to the business glossary | Establishment of a capability to ensure that the terms, definitions and relationships between data have been verified and approved by business stakeholders and stored as metadata."
23,OP1956,"Documentation of business term definitions | Documentation of business definitions shall be aligned with the pre-defined business term naming and definition guidelines. Business term definitions sould be concise and as short as possible without losing the meaning of the business term. The definition should express what the business term is, not what it does, so the definition for a term should start with a noun. "
24,OP14,"Approval of business definitions for data | Establishment of a capability to ensure that the terms, definitions and relationships between data have been verified and approved by business stakeholders and stored as metadata."
